CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W)
3.0,5.0,1.98,0.00141,0.07798
3.0,7.0,1.95,0.00164,0.09396
3.0,9.0,1.82,0.00191,0.11255
3.0,11.0,1.82,0.00225,0.12892
5.0,5.0,1.88,0.00264,0.13266
5.0,7.0,1.88,0.00322,0.16198
5.0,9.0,1.91,0.00392,0.1928
5.0,11.0,1.79,0.0045,0.22367
7.0,5.0,1.85,0.00387,0.20179
7.0,7.0,1.85,0.00482,0.25078
7.0,9.0,1.79,0.00555,0.29651
7.0,11.0,1.79,0.0068,0.34717
15.0,5.0,1.82,0.0138,0.70026
15.0,7.0,1.73,0.01737,0.87265
15.0,9.0,1.68,0.01942,1.04419
15.0,11.0,1.53,0.02282,1.217
