Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
fifo_ctrl_pdubuf,1,32.51,2405154,3015.69,6833100,1284,7309,572.24,2405154,3015.69,6833100,1284,7309
fifo_ctrl_lmubuf,1,32.51,2405154,3015.69,6833100,1284,7309,572.24,2405154,3015.69,6833100,1284,7309
ndroram_pdubuf,54,86.21,1507769,1859.47,4606400,894,4632,0.0,81419526,100411.38,248745600,48276,250128
demux_pdubuf,54,86.21,497333,626.44,1583100,284,1599,143.84,26855982,33827.76,85487400,15336,86346
ndroram_lmubuf,20,86.21,1507769,1859.47,4606400,894,4632,0.0,30155380,37189.4,92128000,17880,92640
demux_lmubuf,20,86.21,497333,626.44,1583100,284,1599,143.84,9946660,12528.800000000001,31662000,5680,31980
qid_ctrl,1,32.59,986602,1241.73,3169200,556,3174,403.7,986602,1241.73,3169200,556,3174
qid_decoder,1,32.59,425868,535.99,1202100,233,1344,258.28,425868,535.99,1202100,233,1344
qid_locator,1,86.21,3993645,4948.16,13467700,2231,11982,358.58000000000004,3993645,4948.16,13467700,2231,11982
