Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
fifo_ctrl_pdubuf,1,32.51,2405154,3015.69,6833100,1284,7309,572.24,2405154,3015.69,6833100,1284,7309
fifo_ctrl_lmubuf,1,32.51,2405154,3015.69,6833100,1284,7309,572.24,2405154,3015.69,6833100,1284,7309
ndroram_pdubuf,74,86.21,1507769,1859.47,4606400,894,4632,0.0,111574906,137600.78,340873600,66156,342768
demux_pdubuf,74,86.21,497333,626.44,1583100,284,1599,143.84,36802642,46356.560000000005,117149400,21016,118326
ndroram_lmubuf,24,86.21,1507769,1859.47,4606400,894,4632,0.0,36186456,44627.28,110553600,21456,111168
demux_lmubuf,24,86.21,497333,626.44,1583100,284,1599,143.84,11935992,15034.560000000001,37994400,6816,38376
qid_ctrl,1,32.59,986602,1241.73,3169200,556,3174,403.7,986602,1241.73,3169200,556,3174
qid_decoder,1,32.59,425868,535.99,1202100,233,1344,258.28,425868,535.99,1202100,233,1344
qid_locator,1,32.59,3443256,4240.56,10364800,1968,10360,360.9,3443256,4240.56,10364800,1968,10360
