Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
fifo_ctrl_pdubuf,1,32.51,2405154,3015.69,6833100,1284,7309,572.24,2405154,3015.69,6833100,1284,7309
fifo_ctrl_lmubuf,1,32.51,2405154,3015.69,6833100,1284,7309,572.24,2405154,3015.69,6833100,1284,7309
ndroram_pdubuf,125,86.21,1507769,1859.47,4606400,894,4632,0.0,188471125,232433.75,575800000,111750,579000
demux_pdubuf,125,86.21,497333,626.44,1583100,284,1599,143.84,62166625,78305.0,197887500,35500,199875
ndroram_lmubuf,33,86.21,1507769,1859.47,4606400,894,4632,0.0,49756377,61362.51,152011200,29502,152856
demux_lmubuf,33,86.21,497333,626.44,1583100,284,1599,143.84,16411989,20672.52,52242300,9372,52767
qid_ctrl,1,32.59,1079240,1350.76,3412900,615,3442,403.7,1079240,1350.76,3412900,615,3442
qid_decoder,1,32.59,425868,535.99,1202100,233,1344,258.28,425868,535.99,1202100,233,1344
qid_locator,1,86.21,5776426,7065.68,17955100,3358,17014,265.76000000000005,5776426,7065.68,17955100,3358,17014
