CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W),Area(mm^2)
3,5,2.02,0.00078,0.019809999999999998,
3,7,1.91,0.00097,0.024030000000000003,
3,9,1.85,0.00115,0.02825,
3,11,1.85,0.0014,0.03411,
5,5,1.73,0.0016699999999999998,0.041510000000000005,
5,7,1.73,0.0020800000000000003,0.05117,
5,9,1.71,0.00253,0.06362000000000001,
5,11,1.68,0.00292,0.0773,
