Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
fifo_ctrl_opbuf,1,32.64,389251,490.52,1148700,214,1224,230.6,389251,490.52,1148700,214,1224
ndroram_opbuf,1,86.21,469730,587.14,1531200,270,1486,0.0,469730,587.14,1531200,270,1486
demux_opbuf,1,86.21,188553,229.1,593600,117,558,93.3,188553,229.1,593600,117,558
srmem_pchinfo1,65,56.82,477498,586.54,1010900,269,1364,0.0,31037370,38125.1,65708500,17485,88660
srmem_pchinfo2,65,56.82,477498,586.54,1010900,269,1364,0.0,31037370,38125.1,65708500,17485,88660
srmem_cnt,36,56.82,194818,240.14,422900,109,564,0.0,7013448,8645.039999999999,15224400,3924,20304
mux_cnt,1,86.21,5208043,6189.22,17052900,3368,14717,238.77999999999997,5208043,6189.22,17052900,3368,14717
psu_ctrl,1,32.51,944502,1189.93,2962300,531,2931,343.2,944502,1189.93,2962300,531,2931
psu_opNloc,1,32.36,16390167,19908.83,48687500,9927,47659,507.36,16390167,19908.83,48687500,9927,47659
sptree_mgin,1,100.0,104478192,115486.56,236376000,67536,270144,80.3,104478192,115486.56,236376000,67536,270144
psu_maskgen,1408,32.51,17044333,21218.35,50213400,9455,52344,1289.8200000000002,23998420864,29875436.799999997,70700467200,13312640,73700352
demux_maskpch,22,86.21,6795852,8148.92,21040500,4274,19230,176.04000000000002,149508744,179276.24,462891000,94028,423060
demux_maskuc,528,86.21,2840331,3437.98,9119600,1723,8194,195.16,1499694768,1815253.44,4815148800,909744,4326432
demux_maskqb,33792,100.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0
sptree_cwd,1,100.0,209098708,231130.44,473074000,135164,540656,116.8,209098708,231130.44,473074000,135164,540656
psu_cwdgen,33792,109.89,43113,54.17,174100,27,140,40.3,1456874496,1830512.6400000001,5883187200,912384,4730880
