Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
fifo_ctrl_opbuf,1,32.64,389251,490.52,1148700,214,1224,230.6,389251,490.52,1148700,214,1224
ndroram_opbuf,1,86.21,469730,587.14,1531200,270,1486,0.0,469730,587.14,1531200,270,1486
demux_opbuf,1,86.21,188553,229.1,593600,117,558,93.3,188553,229.1,593600,117,558
srmem_pchinfo1,59,56.82,138282,170.86,304500,77,404,0.0,8158638,10080.740000000002,17965500,4543,23836
srmem_pchinfo2,59,56.82,138282,170.86,304500,77,404,0.0,8158638,10080.740000000002,17965500,4543,23836
srmem_cnt,36,56.82,194818,240.14,422900,109,564,0.0,7013448,8645.039999999999,15224400,3924,20304
mux_cnt,1,86.21,5208043,6189.22,17052900,3368,14717,238.77999999999997,5208043,6189.22,17052900,3368,14717
psu_ctrl,1,32.51,944502,1189.93,2962300,531,2931,343.2,944502,1189.93,2962300,531,2931
psu_opNloc,1,32.53,9503272,11638.9,28633400,5632,28205,453.21999999999997,9503272,11638.9,28633400,5632,28205
sptree_mgin,1,100.0,28440048,31436.64,64344000,18384,73536,65.7,28440048,31436.64,64344000,18384,73536
psu_maskgen,384,32.51,17044333,21218.35,50213400,9455,52344,1289.8200000000002,6545023872,8147846.399999999,19281945600,3630720,20100096
demux_maskpch,6,86.21,6795852,8148.92,21040500,4274,19230,176.04000000000002,40775112,48893.520000000004,126243000,25644,115380
demux_maskuc,144,86.21,2840331,3437.98,9119600,1723,8194,195.16,409007664,495069.12,1313222400,248112,1179936
demux_maskqb,9216,100.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0
sptree_cwd,1,100.0,57022420,63030.6,129010000,36860,147440,102.2,57022420,63030.6,129010000,36860,147440
psu_cwdgen,9216,109.89,43113,54.17,174100,27,140,40.3,397329408,499230.72000000003,1604505600,248832,1290240
