Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
fifo_ctrl_opbuf,1,32.64,389251,490.52,1148700,214,1224,230.6,389251,490.52,1148700,214,1224
ndroram_opbuf,1,86.21,469730,587.14,1531200,270,1486,0.0,469730,587.14,1531200,270,1486
demux_opbuf,1,86.21,188553,229.1,593600,117,558,93.3,188553,229.1,593600,117,558
srmem_pchinfo1,56,56.82,115760,143.43,276000,64,341,0.0,6482560,8032.08,15456000,3584,19096
srmem_pchinfo2,56,56.82,115760,143.43,276000,64,341,0.0,6482560,8032.08,15456000,3584,19096
srmem_cnt,36,56.82,194818,240.14,422900,109,564,0.0,7013448,8645.039999999999,15224400,3924,20304
mux_cnt,1,86.21,5208043,6189.22,17052900,3368,14717,238.77999999999997,5208043,6189.22,17052900,3368,14717
psu_ctrl,1,32.51,944502,1189.93,2962300,531,2931,343.2,944502,1189.93,2962300,531,2931
psu_opNloc,1,32.53,9369870,11475.62,27124300,5548,27800,449.21999999999997,9369870,11475.62,27124300,5548,27800
sptree_mgin,1,100.0,23687664,26183.52,53592000,15312,61248,65.7,23687664,26183.52,53592000,15312,61248
psu_maskgen,320,32.51,17044333,21218.35,50213400,9455,52344,1289.8200000000002,5454186560,6789872.0,16068288000,3025600,16750080
demux_maskpch,5,86.21,6795852,8148.92,21040500,4274,19230,176.04000000000002,33979260,40744.6,105202500,21370,96150
demux_maskuc,120,86.21,2840331,3437.98,9119600,1723,8194,195.16,340839720,412557.6,1094352000,206760,983280
demux_maskqb,7680,100.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0
sptree_cwd,1,100.0,47517652,52524.36,107506000,30716,122864,94.89999999999999,47517652,52524.36,107506000,30716,122864
psu_cwdgen,7680,109.89,43113,54.17,174100,27,140,40.3,331107840,416025.60000000003,1337088000,207360,1075200
