Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
fifo_ctrl_opbuf,1,32.64,389251,490.52,1148700,214,1224,230.6,389251,490.52,1148700,214,1224
ndroram_opbuf,1,86.21,469730,587.14,1531200,270,1486,0.0,469730,587.14,1531200,270,1486
demux_opbuf,1,86.21,188553,229.1,593600,117,558,93.3,188553,229.1,593600,117,558
srmem_pchinfo1,62,56.82,265488,326.74,569900,149,764,0.0,16460256,20257.88,35333800,9238,47368
srmem_pchinfo2,62,56.82,265488,326.74,569900,149,764,0.0,16460256,20257.88,35333800,9238,47368
srmem_cnt,36,56.82,194818,240.14,422900,109,564,0.0,7013448,8645.039999999999,15224400,3924,20304
mux_cnt,1,86.21,5208043,6189.22,17052900,3368,14717,238.77999999999997,5208043,6189.22,17052900,3368,14717
psu_ctrl,1,32.51,944502,1189.93,2962300,531,2931,343.2,944502,1189.93,2962300,531,2931
psu_opNloc,1,32.36,11564027,14032.11,34712400,7043,33743,447.26,11564027,14032.11,34712400,7043,33743
sptree_mgin,1,100.0,56954352,62955.36,128856000,36816,147264,73.0,56954352,62955.36,128856000,36816,147264
psu_maskgen,768,32.51,17044333,21218.35,50213400,9455,52344,1289.8200000000002,13090047744,16295692.799999999,38563891200,7261440,40200192
demux_maskpch,12,86.21,6795852,8148.92,21040500,4274,19230,176.04000000000002,81550224,97787.04000000001,252486000,51288,230760
demux_maskuc,288,86.21,2840331,3437.98,9119600,1723,8194,195.16,818015328,990138.24,2626444800,496224,2359872
demux_maskqb,18432,100.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0
sptree_cwd,1,100.0,114051028,126068.04,258034000,73724,294896,109.5,114051028,126068.04,258034000,73724,294896
psu_cwdgen,18432,109.89,43113,54.17,174100,27,140,40.3,794658816,998461.4400000001,3209011200,497664,2580480
