Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
buffer_ctrl,1,32.36,631837,805.26,1914300,329,1966,389.81999999999994,631837,805.26,1914300,329,1966
ndroram_opbuf,1,86.21,469730,587.14,1531200,270,1486,0.0,469730,587.14,1531200,270,1486
demux_opbuf,1,86.21,188553,229.1,593600,117,558,93.3,188553,229.1,593600,117,558
ndroram_timebuf,1,86.21,2252562,2760.98,6926800,1330,6886,0.0,2252562,2760.98,6926800,1330,6886
demux_timebuf,1,86.21,903811,1077.6,2657600,583,2556,122.5,903811,1077.6,2657600,583,2556
ndrobuf_cwdbuf,9216,99.01,101477,128.61,369600,57,331,0.0,935212032,1185269.7600000002,3406233600,525312,3050496
sptree_cwd,1,100.0,28511210,31515.3,64505000,18430,73720,102.2,28511210,31515.3,64505000,18430,73720
dffbuf_cwd,9216,100.0,16153,21.33,32900,7,52,0.0,148866048,196577.27999999997,303206400,64512,479232
