CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W)
3.0,5.0,2.61,1e-05,0.0317
3.0,7.0,2.55,1e-05,0.03989
3.0,9.0,2.5,1e-05,0.04798
3.0,11.0,2.45,1e-05,0.055310000000000005
5.0,5.0,2.4,1e-05,0.0547
5.0,7.0,2.5,1e-05,0.06802000000000001
5.0,9.0,2.45,1e-05,0.08232
5.0,11.0,2.4,2e-05,0.09665
7.0,5.0,2.4,2e-05,0.08285
7.0,7.0,2.36,2e-05,0.10099
7.0,9.0,2.36,2e-05,0.13397
7.0,11.0,2.27,3e-05,0.14671
15.0,5.0,2.27,5.9999999999999995e-05,0.31239
15.0,7.0,2.11,8e-05,0.37081
15.0,9.0,2.15,9e-05,0.48873
15.0,11.0,2.19,0.00011,0.5754199999999999
