Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
fifo_ctrl_opbuf,1,32.64,389251,490.52,1148700,214,1224,230.6,389251,490.52,1148700,214,1224
ndroram_opbuf,1,86.21,469730,587.14,1531200,270,1486,0.0,469730,587.14,1531200,270,1486
demux_opbuf,1,86.21,188553,229.1,593600,117,558,93.3,188553,229.1,593600,117,558
srmem_pchinfo,67,56.82,900197,1104.69,1907700,508,2561,0.0,60313199,74014.23000000001,127815900,34036,171587
srmem_cnt,36,56.82,194818,240.14,422900,109,564,0.0,7013448,8645.039999999999,15224400,3924,20304
mux_cnt,1,86.21,5208043,6189.22,17052900,3368,14717,238.77999999999997,5208043,6189.22,17052900,3368,14717
psu_ctrl,1,32.36,1116783,1385.71,3336500,643,3408,376.11999999999995,1116783,1385.71,3336500,643,3408
psu_opNloc,1,32.36,14505758,17797.63,41406300,8531,43341,429.4,14505758,17797.63,41406300,8531,43341
sptree_mgin,1,100.0,9430512,10424.16,21336000,6096,24384,51.1,9430512,10424.16,21336000,6096,24384
psu_maskgen,128,32.51,17044333,21218.35,50213400,9455,52344,1289.8200000000002,2181674624,2715948.8,6427315200,1210240,6700032
demux_maskpch,1,86.21,963878398,1144448.96,2956042200,615885,2625943,353.08000000000004,963878398,1144448.96,2956042200,615885,2625943
demux_maskuc,2016,86.21,1107307,1339.79,3396000,681,3211,150.04,2232330912,2701016.64,6846336000,1372896,6473376
demux_maskqb,64512,100.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0
sptree_cwd,1,100.0,399194068,441255.24,903154000,258044,1032176,116.8,399194068,441255.24,903154000,258044,1032176
psu_cwdgen,64512,109.89,43113,54.17,174100,27,140,40.3,2781305856,3494615.04,11231539200,1741824,9031680
