Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
fifo_ctrl_opbuf,1,32.64,389251,490.52,1148700,214,1224,230.6,389251,490.52,1148700,214,1224
ndroram_opbuf,1,86.21,469730,587.14,1531200,270,1486,0.0,469730,587.14,1531200,270,1486
demux_opbuf,1,86.21,188553,229.1,593600,117,558,93.3,188553,229.1,593600,117,558
srmem_pchinfo,56,56.82,115760,143.43,276000,64,341,0.0,6482560,8032.08,15456000,3584,19096
srmem_cnt,36,56.82,194818,240.14,422900,109,564,0.0,7013448,8645.039999999999,15224400,3924,20304
mux_cnt,1,86.21,5208043,6189.22,17052900,3368,14717,238.77999999999997,5208043,6189.22,17052900,3368,14717
psu_ctrl,1,32.51,1108057,1376.39,3438900,643,3374,350.82,1108057,1376.39,3438900,643,3374
psu_opNloc,1,32.53,2800447,3505.67,8271300,1564,8711,392.67999999999995,2800447,3505.67,8271300,1564,8711
sptree_mgin,1,100.0,1707888,1887.84,3864000,1104,4416,36.5,1707888,1887.84,3864000,1104,4416
psu_maskgen,24,32.51,17044333,21218.35,50213400,9455,52344,1289.8200000000002,409063992,509240.39999999997,1205121600,226920,1256256
demux_maskpch,1,86.21,15057869,18185.91,48430900,9187,43119,213.06000000000003,15057869,18185.91,48430900,9187,43119
demux_maskuc,45,86.21,8743436,10639.23,29813800,5210,25345,243.58,393454620,478765.35,1341621000,234450,1140525
demux_maskqb,7680,100.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0
sptree_cwd,1,100.0,47517652,52524.36,107506000,30716,122864,94.89999999999999,47517652,52524.36,107506000,30716,122864
psu_cwdgen,7680,109.89,43113,54.17,174100,27,140,40.3,331107840,416025.60000000003,1337088000,207360,1075200
