Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
fifo_ctrl_mobuf,1,32.51,2405154,3015.69,6833100,1284,7309,572.24,2405154,3015.69,6833100,1284,7309
ndroram_mobuf,1,86.21,6242716,7670.76,19860000,3728,19032,0.0,6242716,7670.76,19860000,3728,19032
demux_mobuf,1,86.21,2634627,3231.89,7782400,1553,7849,176.4,2634627,3231.89,7782400,1553,7849
srmem_instinfo1,28,56.82,73358,91.47,187800,40,221,0.0,2054024,2561.16,5258400,1120,6188
srmem_instinfo2,28,56.82,73358,91.47,187800,40,221,0.0,2054024,2561.16,5258400,1120,6188
srmem_pchinfo1,59,56.82,138282,170.86,304500,77,404,0.0,8158638,10080.740000000002,17965500,4543,23836
srmem_pchinfo2,59,56.82,138282,170.86,304500,77,404,0.0,8158638,10080.740000000002,17965500,4543,23836
lmu_ctrl,1,32.51,4148152,5118.61,12318700,2402,12685,432.78000000000003,4148152,5118.61,12318700,2402,12685
mux_pfmeas,1024,86.21,1049577,1291.66,3450300,623,3202,229.94,1074766848,1322659.84,3533107200,637952,3278848
lmu_selproduct,2,32.51,13765505,17089.55,44880600,8517,38330,860.58,27531010,34179.1,89761200,17034,76660
lmu_interpret,1,32.51,13791479,17472.24,41311000,7072,42248,1520.02,13791479,17472.24,41311000,7072,42248
lmu_lqsigngen,1,32.53,6188514,7813.05,19158800,3474,18704,773.06,6188514,7813.05,19158800,3474,18704
