Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
fifo_ctrl_mobuf,1,32.51,2405154,3015.69,6833100,1284,7309,572.24,2405154,3015.69,6833100,1284,7309
ndroram_mobuf,1,86.21,6242716,7670.76,19860000,3728,19032,0.0,6242716,7670.76,19860000,3728,19032
demux_mobuf,1,86.21,2634627,3231.89,7782400,1553,7849,176.4,2634627,3231.89,7782400,1553,7849
srmem_instinfo1,53,56.82,159483,196.84,349400,89,464,0.0,8452599,10432.52,18518200,4717,24592
srmem_instinfo2,53,56.82,159483,196.84,349400,89,464,0.0,8452599,10432.52,18518200,4717,24592
srmem_pchinfo1,62,56.82,265488,326.74,569900,149,764,0.0,16460256,20257.88,35333800,9238,47368
srmem_pchinfo2,62,56.82,265488,326.74,569900,149,764,0.0,16460256,20257.88,35333800,9238,47368
lmu_ctrl,1,32.51,4148152,5118.61,12318700,2402,12685,432.78000000000003,4148152,5118.61,12318700,2402,12685
mux_pfmeas,1024,86.21,2463389,3017.15,8268200,1453,7412,286.48,2522510336,3089561.6,8466636800,1487872,7589888
lmu_selproduct,2,32.51,13765505,17089.55,44880600,8517,38330,860.58,27531010,34179.1,89761200,17034,76660
lmu_interpret,1,32.36,99798302,126330.03,319391800,49790,304916,3957.08,99798302,126330.03,319391800,49790,304916
lmu_lqsigngen,1,32.53,11083991,13955.06,32826600,6059,33650,987.44,11083991,13955.06,32826600,6059,33650
