Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
fifo_ctrl_mobuf,1,32.51,2405154,3015.69,6833100,1284,7309,572.24,2405154,3015.69,6833100,1284,7309
ndroram_mobuf,1,86.21,6242716,7670.76,19860000,3728,19032,0.0,6242716,7670.76,19860000,3728,19032
demux_mobuf,1,86.21,2634627,3231.89,7782400,1553,7849,176.4,2634627,3231.89,7782400,1553,7849
srmem_instinfo1,23,56.82,59224,74.15,158400,32,181,0.0,1362152,1705.45,3643200,736,4163
srmem_instinfo2,23,56.82,59224,74.15,158400,32,181,0.0,1362152,1705.45,3643200,736,4163
srmem_pchinfo1,56,56.82,115760,143.43,276000,64,341,0.0,6482560,8032.08,15456000,3584,19096
srmem_pchinfo2,56,56.82,115760,143.43,276000,64,341,0.0,6482560,8032.08,15456000,3584,19096
lmu_ctrl,1,32.51,4148152,5118.61,12318700,2402,12685,432.78000000000003,4148152,5118.61,12318700,2402,12685
mux_pfmeas,1024,86.21,889107,1097.6,2834200,518,2719,207.53999999999996,910445568,1123942.4,2902220800,530432,2784256
lmu_selproduct,2,32.51,13765505,17089.55,44880600,8517,38330,860.58,27531010,34179.1,89761200,17034,76660
lmu_interpret,1,32.57,6817339,8620.74,18593500,3554,20858,1130.22,6817339,8620.74,18593500,3554,20858
lmu_lqsigngen,1,32.53,5731214,7253.62,15973100,3191,17352,775.76,5731214,7253.62,15973100,3191,17352
