Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
buffer_ctrl,1,32.36,631837,805.26,1914300,329,1966,389.81999999999994,631837,805.26,1914300,329,1966
ndroram_opbuf,1,86.21,469730,587.14,1531200,270,1486,0.0,469730,587.14,1531200,270,1486
demux_opbuf,1,86.21,188553,229.1,593600,117,558,93.3,188553,229.1,593600,117,558
ndroram_timebuf,1,86.21,2252562,2760.98,6926800,1330,6886,0.0,2252562,2760.98,6926800,1330,6886
demux_timebuf,1,86.21,903811,1077.6,2657600,583,2556,122.5,903811,1077.6,2657600,583,2556
ndroram_cwdbuf,9216,86.21,469730,587.14,1531200,270,1486,0.0,4329031680,5411082.24,14111539200,2488320,13694976
demux_cwdbuf,9216,86.21,188553,229.1,593600,117,558,93.3,1737704448,2111385.6,5470617600,1078272,5142528
sptree_cwd,1,100.0,57022420,63030.6,129010000,36860,147440,102.2,57022420,63030.6,129010000,36860,147440
