Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
buffer_ctrl,1,32.36,631837,805.26,1914300,329,1966,389.81999999999994,631837,805.26,1914300,329,1966
ndroram_opbuf,1,86.21,469730,587.14,1531200,270,1486,0.0,469730,587.14,1531200,270,1486
demux_opbuf,1,86.21,188553,229.1,593600,117,558,93.3,188553,229.1,593600,117,558
ndroram_timebuf,1,86.21,2252562,2760.98,6926800,1330,6886,0.0,2252562,2760.98,6926800,1330,6886
demux_timebuf,1,86.21,903811,1077.6,2657600,583,2556,122.5,903811,1077.6,2657600,583,2556
ndroram_cwdbuf,10752,86.21,469730,587.14,1531200,270,1486,0.0,5050536960,6312929.28,16463462400,2903040,15977472
demux_cwdbuf,10752,86.21,188553,229.1,593600,117,558,93.3,2027321856,2463283.1999999997,6382387200,1257984,5999616
sptree_cwd,1,100.0,66527188,73536.84,150514000,43004,172016,102.2,66527188,73536.84,150514000,43004,172016
