CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W)
3.0,5.0,3.4,1e-05,0.07192
3.0,7.0,3.4,1e-05,0.08722
3.0,9.0,3.4,2e-05,0.10568
3.0,11.0,3.4,2e-05,0.1248
5.0,5.0,3.4,2.9999999999999997e-05,0.1681
5.0,7.0,3.31,3e-05,0.208
5.0,9.0,3.31,4e-05,0.25229
5.0,11.0,3.22,5e-05,0.27648
7.0,5.0,3.14,5e-05,0.2977
7.0,7.0,3.22,6e-05,0.3612800000000001
7.0,9.0,3.14,7e-05,0.43416000000000005
7.0,11.0,3.14,8e-05,0.50332
15.0,5.0,2.86,0.00017,1.1913200000000002
15.0,7.0,2.39,0.00022,1.33074
15.0,9.0,2.55,0.00027,1.7699900000000002
