Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
pdu_ctrl,1,86.21,425003,527.17,1188500,237,1293,184.22000000000003,425003,527.17,1188500,237,1293
pdu_lqindexer,1,86.21,1028597,1278.36,4031600,576,3159,221.92000000000002,1028597,1278.36,4031600,576,3159
ndroram_pchmap,1,86.21,15675039,19254.51,48451000,9333,47845,0.0,15675039,19254.51,48451000,9333,47845
demux_pchmap,1,86.21,3545707,4330.99,12275900,2097,10458,185.78000000000003,3545707,4330.99,12275900,2097,10458
pdu_decoder,1,86.21,17429375,20913.46,59441500,10743,49654,498.53999999999996,17429375,20913.46,59441500,10743,49654
