Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
pdu_ctrl,1,86.21,440779,545.84,1227700,248,1341,184.22000000000003,440779,545.84,1227700,248,1341
pdu_lqindexer,1,86.21,1422988,1769.64,5526800,795,4358,247.16000000000003,1422988,1769.64,5526800,795,4358
ndroram_pchmap,1,86.21,15675039,19254.51,48451000,9333,47845,0.0,15675039,19254.51,48451000,9333,47845
demux_pchmap,1,86.21,4073399,5001.31,14367800,2395,12095,186.10000000000002,4073399,5001.31,14367800,2395,12095
pdu_decoder,1,86.21,20715680,24824.01,72982600,12875,58741,519.6399999999999,20715680,24824.01,72982600,12875,58741
