CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W)
3.0,5.0,1.91,0.0008,0.01999
3.0,7.0,1.82,0.001,0.0236
3.0,9.0,1.85,0.00121,0.03009
3.0,11.0,1.88,0.0014,0.03489
5.0,5.0,1.85,0.0017100000000000001,0.04392
5.0,7.0,1.79,0.0021,0.05545
5.0,9.0,1.61,0.00256,0.0617
5.0,11.0,1.63,0.003,0.07207999999999999
7.0,5.0,1.68,0.00294,0.07425
7.0,7.0,1.63,0.00363,0.0957
7.0,9.0,1.61,0.004370000000000001,0.11309000000000001
7.0,11.0,1.61,0.00514,0.13036
