CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W)
3.0,5.0,2.27,0.0006,0.05525
3.0,7.0,2.22,0.00079,0.06984
3.0,9.0,2.22,0.001,0.08976
3.0,11.0,2.18,0.00117,0.10611
5.0,5.0,2.27,0.00089,0.08068
5.0,7.0,2.18,0.00111,0.10101
5.0,9.0,2.1,0.00125,0.12484
5.0,11.0,2.02,0.00161,0.15003
7.0,5.0,2.06,0.00114,0.10934
7.0,7.0,1.98,0.0014199999999999,0.13703
7.0,9.0,1.98,0.00181,0.17062
7.0,11.0,1.91,0.00215,0.19996
15.0,5.0,1.85,0.003,0.27712
15.0,7.0,1.73,0.0038,0.34351
15.0,9.0,1.73,0.00451,0.4174
15.0,11.0,1.6,0.00518,0.48776
