Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
ndroram_pistat,10,86.21,1507769,1859.47,4606400,894,4632,0.0,15077690,18594.7,46064000,8940,46320
demux_pistat,10,86.21,452445,573.66,1534800,254,1479,136.7,4524450,5736.599999999999,15348000,2540,14790
ndroram_pidyn,24,86.21,1507769,1859.47,4606400,894,4632,0.0,36186456,44627.28,110553600,21456,111168
demux_pidyn,24,86.21,452445,573.66,1534800,254,1479,136.7,10858680,13767.84,36835200,6096,35496
piu_ctrl,1,86.21,2547976,3099.4,9053600,1521,7541,394.65999999999997,2547976,3099.4,9053600,1521,7541
piu_nextsrc,1,86.21,5217896,6334.05,18287800,3192,15255,241.22,5217896,6334.05,18287800,3192,15255
piu_pchindexer,1,86.21,4662048,5750.52,17938400,2695,14162,489.36,4662048,5750.52,17938400,2695,14162
piu_dyndecoder,1,86.21,8972390,10969.22,34293200,5355,27109,402.14,8972390,10969.22,34293200,5355,27109
piu_pchinfo,1,86.21,23067207,27428.83,74012200,14779,64709,424.28,23067207,27428.83,74012200,14779,64709
