Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
ndroram_pistat,10,86.21,3247965,3971.21,10374800,1964,9812,0.0,32479650,39712.1,103748000,19640,98120
demux_pistat,10,86.21,583560,729.08,2224400,341,1848,163.98,5835600,7290.8,22244000,3410,18480
ndroram_pidyn,24,86.21,3247965,3971.21,10374800,1964,9812,0.0,77951160,95309.04000000001,248995200,47136,235488
demux_pidyn,24,86.21,583560,729.08,2224400,341,1848,163.98,14005440,17497.920000000002,53385600,8184,44352
piu_ctrl,1,86.21,2703492,3297.19,9564400,1598,8017,417.65999999999997,2703492,3297.19,9564400,1598,8017
piu_nextsrc,1,86.21,7404964,8853.13,24901500,4634,21060,263.12,7404964,8853.13,24901500,4634,21060
piu_pchindexer,1,86.21,6120558,7538.31,22426700,3522,18460,541.06,6120558,7538.31,22426700,3522,18460
piu_dyndecoder,1,32.51,12457415,15583.83,39614000,6906,38924,735.72,12457415,15583.83,39614000,6906,38924
piu_pchinfo,1,86.21,32706469,38695.89,111664900,21196,90695,496.96,32706469,38695.89,111664900,21196,90695
