Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
ndroram_pistat,10,86.21,1507769,1859.47,4606400,894,4632,0.0,15077690,18594.7,46064000,8940,46320
demux_pistat,10,86.21,383827,487.68,1459200,216,1257,138.72,3838270,4876.8,14592000,2160,12570
ndroram_pidyn,24,86.21,1507769,1859.47,4606400,894,4632,0.0,36186456,44627.28,110553600,21456,111168
demux_pidyn,24,86.21,383827,487.68,1459200,216,1257,138.72,9211848,11704.32,35020800,5184,30168
piu_ctrl,1,86.21,2521639,3066.11,9224700,1505,7452,404.67999999999995,2521639,3066.11,9224700,1505,7452
piu_nextsrc,1,86.21,4383725,5305.78,15544300,2691,12759,248.52,4383725,5305.78,15544300,2691,12759
piu_pchindexer,1,86.21,3287008,4054.89,12735700,1909,10017,441.48,3287008,4054.89,12735700,1909,10017
piu_dyndecoder,1,32.64,6926466,8698.01,20220400,3825,22250,531.88,6926466,8698.01,20220400,3825,22250
piu_pchinfo,1,86.21,18565213,22059.57,62508200,11877,52223,419.94,18565213,22059.57,62508200,11877,52223
